Omega,31.41592654,,,,,,,,,,,,,,,,,,,,,,,,,,
0.49,0.321759468,0.014476936,62.834947,109158.7647,10.33757513,6.375,3.962575131,1.011534402,0.017710344,-0.076165092,40.67137637,12.64945063,6.198230807,,,,,,,,,,,,,,
0.531,0.323568052,0.012265654,56.247469,105405.8363,9.550117994,6.425,3.125117994,1.015780182,0.017906783,-0.076045324,42.2471614,12.1140821,6.432577597,,,,,,,,,,,,,,
0.561,0.324939881,0.01083347,43.900339,86666.91308,9.042632613,6.675,2.367632613,1.035889659,0.019773255,-0.075235142,37.05199772,9.965390237,5.590583923,,,,,,,,,,,,,,
0.579,0.326355597,0.009592796,23.922723,48645.31714,8.758433587,7.525,1.233433587,1.077678732,0.028416501,-0.069372962,22.08852021,5.469033398,3.166570337,,,,,,,,,,,,,,
0.585,0.328264772,0.00743675,5.359954,10985.77403,8.663998245,9.5,-0.836001755,1.074547837,0.056382771,-0.047741708,4.979057217,0.971415447,0.568278036,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
omega,57.59586532,,,,,,,,,,,,,,,,,,,,,,,,,,
n,550,,,,,,,,,,,,,,,,,,,,,,,,,,
Radius [m],Axial Adduction a,Tangential Adduction a´,Chord[mm],Reynolds,Flow Angle \phi [°],Angle of Attach \alpha [°],Pitch Angle \beta [°],C_L,C_D,C_M,Axial Force [N],Tangential Force [N],Torque [Nm],,,,,,,,,,,,,,
0.085,0.170167739,0.233174774,84.748488,46621.14041,43.89558616,7.8,36.09558616,1.175295273,0.02920253,-0.066791675,8.057610617,8.275699927,0.703434494,,,,,,,,,,,,,,
0.163,0.262198323,0.095196344,104.488447,78941.97851,26.67055517,6.8,19.87055517,1.058839212,0.022015032,-0.074693468,15.67525286,11.04663801,1.800601996,,,,,,,,,,,,,,
0.24,0.295335814,0.048203642,89.986298,90437.64782,18.80027314,6.575,12.22527314,1.032721206,0.020466678,-0.075582992,21.57987932,11.58189266,2.779654239,,,,,,,,,,,,,,
0.312,0.309298398,0.029291272,75.820667,95178.19241,14.64927603,6.5,8.149276033,1.023872911,0.019564118,-0.07581249,26.97501558,11.65823721,3.63737001,,,,,,,,,,,,,,
0.379,0.316599646,0.019964516,65.024052,97230.56306,12.12626242,6.5,5.626262422,1.023088207,0.019066722,-0.075819268,32.03595379,11.60131344,4.396897794,,,,,,,,,,,,,,
0.439,0.320643998,0.014846522,57.394434,98349.45947,10.49933998,6.5,3.999339977,1.022610763,0.018735393,-0.075831941,36.61286338,11.50509902,5.05073847,,,,,,,,,,,,,,
0.49,0.322822225,0.011854431,51.752905,98368.40115,9.424875472,6.525,2.899875472,1.024627552,0.018606834,-0.075766187,40.36969742,11.35891726,5.565869459,,,,,,,,,,,,,,
0.531,0.323218125,0.010016676,45.909948,94206.89812,8.719345605,6.575,2.144345605,1.028399339,0.018910769,-0.075593528,41.70021931,10.78505958,5.726866639,,,,,,,,,,,,,,
0.561,0.322628567,0.00880301,35.282742,76310.26281,8.276584768,6.85,1.426584768,1.048367505,0.021196835,-0.07447569,36.15231357,8.722864347,4.893526899,,,,,,,,,,,,,,
0.579,0.323244979,0.007646858,19.13904,42646.64337,8.024555513,7.775,0.249555513,1.082771819,0.031244294,-0.066776852,21.36110523,4.648567338,2.691520489,,,,,,,,,,,,,,
0.585,0.321880392,0.006172062,4.264036,9584.49746,7.970636079,9.25,-1.279363921,1.077540557,0.051880563,-0.05014326,4.826437523,0.860648985,0.503479656,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
omega,68.06784083,,,,,,,,,,,,,,,,,,,,,,,,,,
n,650,,,,,,,,,,,,,,,,,,,,,,,,,,
Radius [m],Axial Adduction a,Tangential Adduction a´,Chord[mm],Reynolds,Flow Angle \phi [°],Angle of Attach \alpha [°],Pitch Angle \beta [°],C_L,C_D,C_M,Axial Force [N],Tangential Force [N],Torque [Nm],,,,,,,,,,,,,,
0.085,0.197370934,0.1920765,78.425713,45809.80927,39.16650254,7.8,31.36650254,1.171034802,0.030193396,-0.066741354,8.360884292,7.79241577,0.66235534,,,,,,,,,,,,,,
0.163,0.278900419,0.071370981,82.391587,69865.86947,23.00817008,6.975,16.03317008,1.072180215,0.023810665,-0.073785921,15.21882869,9.566151845,1.559282751,,,,,,,,,,,,,,
0.24,0.305037629,0.034990242,67.058312,77468.52736,16.05158771,6.8,9.251587705,1.050832323,0.022111503,-0.07469028,21.0069267,9.79886726,2.351728142,,,,,,,,,,,,,,
0.312,0.315639684,0.020920139,55.153971,80413.31156,12.4593478,6.75,5.709347797,1.044194609,0.021232737,-0.074896171,26.4350255,9.749980056,3.041993778,,,,,,,,,,,,,,
0.379,0.321055605,0.014110708,46.794764,81700.89136,10.29622726,6.75,3.546227256,1.043085583,0.020765411,-0.074930196,31.55027919,9.627308441,3.648749899,,,,,,,,,,,,,,
0.439,0.324037539,0.010415052,41.050401,82376.80541,8.906745813,6.75,2.156745813,1.042468501,0.020470927,-0.074940809,36.16409173,9.488109546,4.165280091,,,,,,,,,,,,,,
0.49,0.325467568,0.008265172,36.748094,81940.64549,7.992472146,6.775,1.217472146,1.044158949,0.020422662,-0.074843076,39.80069662,9.282686293,4.548516284,,,,,,,,,,,,,,
0.531,0.325442932,0.006933037,31.955598,77005.43336,7.392363617,6.85,0.542363617,1.048824751,0.021057453,-0.074482446,40.47739825,8.607398454,4.570528579,,,,,,,,,,,,,,
0.561,0.324725367,0.006001907,23.943334,60850.47152,7.014877888,7.175,-0.160122112,1.066472014,0.024275419,-0.072450494,34.21555209,6.678415026,3.746590829,,,,,,,,,,,,,,
0.579,0.325275153,0.004927395,12.902441,33791.38584,6.80058456,8.3,-1.49941544,1.087197407,0.037398412,-0.060764926,19.87455168,3.300539964,1.911012639,,,,,,,,,,,,,,
0.585,0.323415493,0.00438309,2.851296,7540.080971,6.75348466,8.875,-2.12151534,1.083168719,0.045242364,-0.053973139,4.475934708,0.669843785,0.391858614,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omega,44.64203161,,,,,,,,,,,,,,,,,,,,,,,,,,
n,426.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Radius [m],Axial Adduction a,Tangential Adduction a´,Chord[mm],Reynolds,Flow Angle \phi [°],Angle of Attach \alpha [°],Pitch Angle \beta [°],C_L,C_D,C_M,Axial Force [N],Tangential Force [N],Torque [Nm],,,,,,,,,,,,,,
0.085,0.130109852,0.300221913,88.4165945,45499.31316,50.98397235,7.95,43.03397235,1.192018835,0.030012957,-0.065341364,7.190298659,8.657484664,0.735886196,,,,,,,,,,,,,,
0.163,0.230217693,0.142029705,140.2727419,91223.71272,32.9602371,6.65,26.3102371,1.046088303,0.019638524,-0.075362133,16.16199787,13.32813547,2.172486081,,,,,,,,,,,,,,
0.24,0.275232528,0.076562734,135.8460951,112398.1683,23.74219213,6.275,17.46719213,1.00512302,0.018336898,-0.076378047,22.59488621,14.66512224,3.519629339,,,,,,,,,,,,,,
0.312,0.295789091,0.047864653,120.3728685,121759.3336,18.66247708,6.15,12.51247708,0.991618649,0.017559029,-0.076620367,28.04738469,15.0547632,4.69708612,,,,,,,,,,,,,,
0.379,0.306785575,0.033187633,105.9692851,126233.3236,15.51411423,6.125,9.389114233,0.988645715,0.017033909,-0.076665176,33.05807941,15.16244865,5.746568039,,,,,,,,,,,,,,
0.439,0.313003391,0.024948891,94.7457853,128494.8442,13.46376481,6.125,7.338764811,0.988453628,0.016674648,-0.076676998,37.56848462,15.15538302,6.653213148,,,,,,,,,,,,,,
0.49,0.316584852,0.020085032,86.5014288,129619.5284,12.10052434,6.125,5.975524338,0.988261568,0.016423089,-0.076675135,41.35309859,15.09031226,7.39425301,,,,,,,,,,,,,,
0.531,0.318028158,0.017094442,78.1021406,126044.986,11.1997022,6.175,5.024702199,0.992905458,0.016517141,-0.07658808,43.17558505,14.60985281,7.757831844,,,,,,,,,,,,,,
0.561,0.318049214,0.015203931,61.6481474,104716.6251,10.6337633,6.425,4.208763296,1.015548349,0.018009227,-0.076046036,38.33539218,12.27547297,6.886540337,,,,,,,,,,,,,,
0.579,0.318783507,0.013759952,33.5844883,58733.19569,10.31387206,7.225,3.088872059,1.06837861,0.025094743,-0.072050907,23.04021752,6.960760643,4.030280412,,,,,,,,,,,,,,
0.585,0.319246018,0.010211764,7.509605,13219.44336,10.23861995,9.95,0.288619951,1.069196406,0.065612702,-0.044489563,5.203653531,1.18995882,0.69612591,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omega,45.08185458,,,,,,,,,,,,,,,,,,,,,,,,,,
n,430.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Radius [m],Axial Adduction a,Tangential Adduction a´,Chord[mm],Reynolds,Flow Angle \phi [°],Angle of Attach \alpha [°],Pitch Angle \beta [°],C_L,C_D,C_M,Axial Force [N],Tangential Force [N],Torque [Nm],,,,,,,,,,,,,,
0.085,0.130700152,0.294240398,88.424957,45577.39411,50.82187997,7.85,42.97187997,1.180869125,0.029683941,-0.066240974,7.172241963,8.561994385,0.727769523,,,,,,,,,,,,,,
0.163,0.231626971,0.140027709,138.6589,90633.42895,32.7046833,6.675,26.0296833,1.048676662,0.019798904,-0.075278372,16.15328449,13.2442231,2.158808365,,,,,,,,,,,,,,
0.24,0.276113822,0.075276405,134.014087,111655.9082,23.53733013,6.275,17.26233013,1.005054966,0.018386274,-0.076374329,22.55530371,14.541755,3.4900212,,,,,,,,,,,,,,
0.312,0.29639389,0.047003141,118.51079,120826.633,18.49378627,6.15,12.34378627,0.99151628,0.017594789,-0.076611795,28.00159614,14.91526082,4.653561376,,,,,,,,,,,,,,
0.379,0.307100839,0.032553998,104.168147,125137.1903,15.37360875,6.125,9.248608752,0.9886085,0.017074329,-0.076659583,33.01531475,15.01128755,5.68927798,,,,,,,,,,,,,,
0.439,0.313305327,0.024471853,93.117793,127393.8398,13.33863634,6.125,7.213636344,0.988363331,0.016709446,-0.076665064,37.52727908,15.00407142,6.586787351,,,,,,,,,,,,,,
0.49,0.316897814,0.01969316,84.762354,128149.3392,11.98610594,6.15,5.836105944,0.990712749,0.016518382,-0.076639905,41.30913447,14.9327396,7.317042405,,,,,,,,,,,,,,
0.531,0.318422555,0.016769408,76.543409,124648.7485,11.09134891,6.2,4.891348909,0.995356492,0.016614477,-0.07654632,43.115916,14.45791442,7.677152557,,,,,,,,,,,,,,
0.561,0.318302647,0.014898857,60.334938,103420.9993,10.53256071,6.45,4.082560712,1.017812459,0.018128328,-0.075978417,38.26222363,12.12805689,6.803839913,,,,,,,,,,,,,,
0.579,0.318931775,0.013472071,32.938103,58130.65226,10.21695595,7.225,2.991955952,1.067749222,0.025228899,-0.072030096,22.98902253,6.867894044,3.976510652,,,,,,,,,,,,,,
0.585,0.319289473,0.010028782,7.360912,13077.86022,10.1428872,9.9,0.242887201,1.068769336,0.064858808,-0.04492104,5.192905149,1.177621921,0.688908824,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omega,43.98229715,,,,,,,,,,,,,,,,,,,,,,,,,,
n,420,,,,,,,,,,,,,,,,,,,,,,,,,,
Radius [m],Axial Adduction a,Tangential Adduction a´,Chord[mm],Reynolds,Flow Angle \phi [°],Angle of Attach \alpha [°],Pitch Angle \beta [°],C_L,C_D,C_M,Axial Force [N],Tangential Force [N],Torque [Nm],,,,,,,,,,,,,,
0.085,0.126892435,0.300168331,88.460581,45358.1275,51.50479103,7.85,43.65479103,1.180532699,0.029762244,-0.066234449,7.057260703,8.559567964,0.727563277,,,,,,,,,,,,,,
0.163,0.228126478,0.145144831,142.2219721,91780.6204,33.35051009,6.65,26.70051009,1.046211803,0.019526229,-0.075368196,16.17485345,13.4556381,2.19326901,,,,,,,,,,,,,,
0.24,0.273807354,0.07857232,139.0323524,113825.7797,24.06026942,6.25,17.81026942,1.002634179,0.018190413,-0.076433999,22.65596976,14.85680004,3.565632011,,,,,,,,,,,,,,
0.312,0.29480177,0.049215528,123.5940835,123521.1337,18.92459634,6.125,12.79959634,0.989155858,0.017437595,-0.076650619,28.11941604,15.27228161,4.764951863,,,,,,,,,,,,,,
0.379,0.305964952,0.034146736,108.9422352,128116.4023,15.73918453,6.1,9.639184525,0.986250351,0.016929056,-0.076712551,33.13096201,15.38828996,5.832161896,,,,,,,,,,,,,,
0.439,0.312407299,0.025698279,97.5388558,130531.0883,13.65999299,6.1,7.559992988,0.986037794,0.016566639,-0.076718789,37.63780246,15.39329135,6.757654902,,,,,,,,,,,,,,
0.49,0.31611173,0.020698324,89.1095874,131721.5716,12.27764069,6.1,6.17764069,0.985855294,0.016311955,-0.076713021,41.42045289,15.33290126,7.513121615,,,,,,,,,,,,,,
0.531,0.317637946,0.017623151,80.5214791,128168.9126,11.3639286,6.15,5.213928596,0.990549726,0.016400295,-0.076639905,43.25727064,14.85572705,7.888391063,,,,,,,,,,,,,,
0.561,0.31771385,0.015682111,63.6256375,106583.5639,10.78976252,6.4,4.389762519,1.013349938,0.017855191,-0.076099621,38.44005619,12.50078509,7.012940438,,,,,,,,,,,,,,
0.579,0.318471931,0.014213378,34.6534739,59762.75256,10.46528203,7.2,3.265282034,1.06737974,0.024826067,-0.072251016,23.11625152,7.104918203,4.113747639,,,,,,,,,,,,,,
0.585,0.31901904,0.010504643,7.7567459,13463.05721,10.38931316,9.975,0.414313164,1.067535389,0.066565184,-0.044548114,5.219896693,1.209783091,0.707723108,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
